concept,concept_safe,group,method,condition,folder,sample_count,clip_mean,clip_std,clip_ci95_low,clip_ci95_high,fid_mean,fid_std,fid_ci95_low,fid_ci95_high,kid_mean,kid_std,kid_ci95_low,kid_ci95_high
chaneques,chaneques,folklore_being,dreambooth_lora,checkpoint_2500,/workspace/outputs/dreambooth/output_chaneques_checkpoint_2500,100,28.135463066101075,2.709827236705073,27.600250437736513,28.65542902469635,272.1864175641455,18.43379146674999,261.772838902959,334.1076934593933,0.08539896327514063,0.022126236330533882,0.06855512955049209,0.15415616667259385
chaneques,chaneques,folklore_being,dreambooth_lora,checkpoint_3000,/workspace/outputs/dreambooth/output_a_photo_of_chaneques_with_finetuning,1000,29.908598403930664,2.373940162679011,29.765788511753083,30.047811437273026,266.8856276959093,18.460428805662243,254.5860308767282,327.7365760113989,0.08165025521818725,0.020834826981691857,0.0662894144271281,0.1459938988593224
cuscuz,cuscuz,food,dreambooth_lora,checkpoint_500,/workspace/outputs/dreambooth/output_cuscuz_checkpoint_500,100,26.78227575302124,2.8091528548345392,26.209972479343413,27.344652283191678,200.43834861115954,10.18992789833542,199.4052465944281,238.8643872153724,0.06755983068372773,0.012525626455350025,0.06068920168247673,0.10841221063654283
cuscuz,cuscuz,food,dreambooth_lora,checkpoint_1000,/workspace/outputs/dreambooth/output_cuscuz_checkpoint_1000,100,26.623643646240236,2.4619847801982373,26.14943982362747,27.11145832490921,195.1908895528736,9.188678641251236,195.6212080723108,231.40539407302654,0.07442040100474268,0.013754452219813581,0.06598865741536984,0.11925826855350387
cuscuz,cuscuz,food,dreambooth_lora,checkpoint_1500,/workspace/outputs/dreambooth/output_cuscuz_checkpoint_1500,100,27.777546138763427,2.422856022603529,27.276639582157134,28.253132098197938,188.70258486756467,8.543740411787095,190.3055959573271,224.47290837877765,0.06245523221865534,0.011027254129418228,0.059546936468676905,0.10230058864774783
cuscuz,cuscuz,food,dreambooth_lora,checkpoint_2000,/workspace/outputs/dreambooth/output_cuscuz_checkpoint_2000,100,29.463764362335205,2.242364714810348,29.034609880447388,29.867417338848114,185.93291284010988,9.386412362557797,186.16084912205196,222.4211252533245,0.06538569452719578,0.011436708813518624,0.06140089550171692,0.1044909202119774
cuscuz,cuscuz,food,dreambooth_lora,checkpoint_2500,/workspace/outputs/dreambooth/output_cuscuz_checkpoint_2500,100,30.446700077056885,2.20297066752926,30.006932752132414,30.860453345775603,178.65058736199973,9.099468133115272,179.29031922722407,214.06422942305986,0.061433777998925354,0.01084933234075486,0.0571139529767376,0.0994905623379595
cuscuz,cuscuz,food,dreambooth_lora,checkpoint_3000,/workspace/outputs/dreambooth/output_a_photo_of_cuscuz_with_finetuning,1000,30.175874792099,2.185966625731583,30.038368022203443,30.305957224512102,177.63773179724012,9.023348527803948,178.77821271767957,213.3533010592393,0.06379171952264251,0.010321798827152619,0.060462344959020795,0.09937096104056331
jian,jian,artifact_object_clothing,dreambooth_lora,checkpoint_500,/workspace/outputs/dreambooth/output_jian_checkpoint_500,100,23.079316940307617,2.7787981704156395,22.555769225120546,23.62406353855133,323.6316495976706,9.117291618442476,319.84865995572414,355.24759501142216,0.1701061576310594,0.013640713924402489,0.16149169704244448,0.2134621739946364
jian,jian,artifact_object_clothing,dreambooth_lora,checkpoint_1000,/workspace/outputs/dreambooth/output_jian_checkpoint_1000,100,26.061913261413576,4.135930143560283,25.21478702735901,26.853789807796478,258.4083140146039,9.685000221847263,257.7908075261779,295.3229657273405,0.09421868584352389,0.01297482408074984,0.08667612244058967,0.13600053673534016
