concept,group,method,condition,n,clip_ci_high,clip_ci_low,clip_mean,clip_std,fid,fid_boot_mean,fid_ci_high,fid_ci_low,fid_projected,fid_std,fid_sub100,fid_sub100_std,kid,kid_boot_mean,kid_ci_high,kid_ci_low,kid_std,kid_sub100,kid_sub100_std
jian,artifact_object_clothing,dreambooth_lora,checkpoint_1500,100,,,,,296.77586141428975,299.17643861088646,317.2950644559311,282.43461761287887,296.77589131145487,8.907374914267281,,,0.12426299101866078,0.1281756798965556,0.14617188172105958,0.10917813715466056,0.00939545916840963,,
jian,artifact_object_clothing,dreambooth_lora,checkpoint_2000,100,,,,,265.79191174990905,267.48589600934065,282.2978599264694,252.95956653159627,265.79194222450957,7.502608276182658,,,0.08723657961534625,0.09023485018574968,0.10868893604630131,0.07326872663052672,0.008731940008719383,,
jian,artifact_object_clothing,dreambooth_lora,checkpoint_2500,100,,,,,263.18885105917315,265.62581877288665,281.2936733582397,249.4605511601939,263.1888846111062,8.4348795795903,,,0.08612197822633982,0.08970350459742776,0.10857791978557903,0.07243370087943526,0.009551933715380986,,
lokum,food,dreambooth_lora,without_finetuning,1000,,,,,330.3867592700955,330.659693951344,333.3202165163924,327.89601393391627,330.38678834448024,1.3795320805221354,333.67281908788465,3.523335141911725,0.12086737636311362,0.12123854521398228,0.1251266765088494,0.11768633642687493,0.0019232617496311817,0.12090755767950945,0.007060866229047292
lokum,food,dreambooth_lora,with_finetuning,1000,,,,,228.72551462561103,229.02284378782153,230.47694474965192,227.54547544031,228.72554688136154,0.7509797674734591,232.04636372819806,2.2597686677221267,0.06878582178507875,0.0690139573111664,0.07103584406805828,0.06711965519335927,0.0009968496259858393,0.06949777533307672,0.0030559407678474627
lokum,food,textual_inversion,with_baseline,859,25.23031731281902,24.597321720700602,24.903700075826766,5.049744520081102,291.74228036381476,292.0952832714528,295.93560909812226,288.1343292277159,291.7423199753264,1.959039605824296,295.0237079480107,4.921489479898516,0.0555113732761745,0.055939552185362236,0.05786183609402762,0.054042155317798345,0.0009632237770889346,0.0555152957883305,0.0029149810973943084
lokum,food,dreambooth_lora,checkpoint_500,100,,,,,246.44054932262964,249.0333202154516,256.2612449433243,241.96889426933194,246.44058824790733,3.580218544524297,,,0.03046790745800454,0.033358855662448256,0.03829548570384353,0.02897394341509445,0.002322085605997833,,
lokum,food,dreambooth_lora,checkpoint_1000,100,,,,,229.9563370889078,232.91321053205309,238.15884101687013,227.59358651480454,229.95637520681856,2.6961199400838893,,,0.04751395495423871,0.0499815901932828,0.0569238807186589,0.04382621990591522,0.003370523104089043,,
lokum,food,dreambooth_lora,checkpoint_1500,100,,,,,227.5632664072304,230.4521582969365,235.65067317317673,225.71309591605933,227.56330771966265,2.5320820113122404,,,0.04724500153285627,0.049647513887276305,0.05873782136204773,0.04266316177394337,0.003945824648883785,,
lokum,food,dreambooth_lora,checkpoint_2000,100,,,,,233.42018065206585,236.16327911456293,242.39682628410088,230.59954902519362,233.4202169728509,3.060012470114586,,,0.06550830896678228,0.06761295370042347,0.07718547696583908,0.05917378543298808,0.004449854794018852,,
lokum,food,dreambooth_lora,checkpoint_2500,100,,,,,235.76188190454204,238.183490874852,243.46036128736597,233.5338891620964,235.76191373629894,2.555467767685812,,,0.07432380872525801,0.07626450933092549,0.08356658204917095,0.06916050817489829,0.003689625532435375,,
pacoca,food,dreambooth_lora,without_finetuning,1000,,,,,329.1401013007011,329.2278506197624,331.31075567544224,327.2641900008568,329.1401209303454,1.064199486088794,330.9167345254607,3.3588373117195696,0.21333011911100153,0.21349906502899985,0.21712752067162688,0.20989448950265932,0.0018365908880904915,0.21208560627609976,0.005936850724071351
pacoca,food,dreambooth_lora,with_finetuning,1000,,,,,227.56675981842602,227.77991010510772,231.83469933782007,223.5877976767992,227.5667960149253,2.121199990203874,229.24927447425796,6.297284429145943,0.051740495336783265,0.05201789795809937,0.05603437066117969,0.04798767830166325,0.00209685351596551,0.05016960944959881,0.006660983877563584
pacoca,food,textual_inversion,with_baseline,546,19.009387816046623,18.580655517464592,18.786450085622487,2.51070551208898,361.49633390574564,362.0160360480057,367.46845723254734,356.1439261560491,361.49635817721935,2.8263497776146504,363.8497412190946,6.010026357848318,0.16293516367400063,0.1638280856725788,0.1698609590151882,0.15775493252164394,0.003045943500155872,0.1631918003460092,0.006774969169262172
pacoca,food,dreambooth_lora,checkpoint_500,100,,,,,271.8950087905848,274.68549306488984,288.7212464307742,260.9062028226649,271.8950395405567,7.121237013574729,,,0.10862390756251905,0.11160174635220517,0.135538821395283,0.08888240517924137,0.012277501269862922,,
pacoca,food,dreambooth_lora,checkpoint_1000,100,,,,,259.3057491938092,261.3012883077487,274.8103238865821,247.44089647576362,259.30578346655096,7.074334594782145,,,0.08260220477652336,0.08522205597265964,0.10577791856770553,0.06573470755362386,0.010405555279610252,,
pacoca,food,dreambooth_lora,checkpoint_1500,100,,,,,269.43403961936906,272.04583738510075,285.03805101973677,259.64307578435563,269.43407015799687,6.5178779352513905,,,0.1057970801408934,0.10919209850551251,0.13411404651382627,0.08712988494831983,0.012018275190032136,,
pacoca,food,dreambooth_lora,checkpoint_2000,100,,,,,257.55799811795373,259.6698680319722,273.892322429438,246.70218880877906,257.5580298365772,7.252310017112548,,,0.08737342629436906,0.0900132796100211,0.11362433469947274,0.06965778017000344,0.011457187834624414,,
pacoca,food,dreambooth_lora,checkpoint_2500,100,,,,,223.11097109268172,225.32934399621993,238.60322776421714,212.24995502673548,223.11100551971307,6.897116100734386,,,0.04430228343017495,0.04699036471494392,0.05989195618864394,0.03652312110307131,0.006205640518974968,,
patua,artifact_object_clothing,dreambooth_lora,without_finetuning,1000,,,,,354.6293418929771,354.76268316151464,357.1676726657227,352.26366095936874,354.62936623231366,1.2473560365823935,358.1693153532672,4.419316211351904,0.1649756433489764,0.16529746125221367,0.1693833038704817,0.16103080298530223,0.002094988269657293,0.1654432395758778,0.006478472845886466
